Brand,Model,Theft Rate (%),Province,Place,Hijacking_Rate,Crime_Level,Crime_Level_Num,Driver_Age,Claims,Vehicle_Value,Vehicle_Year,Annual_Mileage,Tracker,Alarm,Immobilizer,Married,Coverage,Usage,Parking,Theft_Rate,Area_Hijack,Premium
Toyota,Hilux,2.5,KwaZulu-Natal,Durban North,1.3,Low,1.0,28,0,2417122,2025,6216,0,0,0,1,Comprehensive,Daily Commute,Garage,2.5,1.3,57724.44
Toyota,Hilux,2.5,KwaZulu-Natal,Umlazi,4.2,High,1.5,28,0,3733493,2017,3365,0,0,0,0,Smart,Daily Commute,Street,2.5,4.2,90796.68
Toyota,Hilux,2.5,KwaZulu-Natal,Inanda,3.5,Medium,1.3,41,0,2945786,2014,41564,0,0,0,0,Third-Party,Occasional,Garage,2.5,3.5,29297.91
Toyota,Hilux,2.5,KwaZulu-Natal,Mariannhill,2.9,Medium,1.3,53,1,3319574,2002,11127,1,1,1,0,Third-Party,Occasional,Garage,2.5,2.9,31700.53
Toyota,Hilux,2.5,KwaZulu-Natal,Mankweng,4.0,High,1.5,57,0,3032994,2016,21902,0,0,0,1,Smart,Weekend Only,Carport,2.5,4.0,40810.71
Toyota,Hilux,2.5,KwaZulu-Natal,Berea,1.5,Low,1.0,41,0,2401152,2000,46747,0,1,0,1,Comprehensive,Business,Garage,2.5,1.5,69218.15
Toyota,Hilux,2.5,KwaZulu-Natal,Plessislaer,2.8,Medium,1.3,20,0,333994,2001,37536,0,1,0,0,Comprehensive,Occasional,Garage,2.5,2.8,1755.25
Toyota,Hilux,2.5,KwaZulu-Natal,Mountain Rise,3.8,High,1.5,39,0,1868557,2018,2495,0,0,0,0,Smart,Weekend Only,Garage,2.5,3.8,14522.09
Toyota,Hilux,2.5,KwaZulu-Natal,Esikhaleni,4.5,High,1.5,19,0,2046889,2008,5592,0,0,0,1,Comprehensive,Weekend Only,Street,2.5,4.5,74544.12
Toyota,Hilux,2.5,KwaZulu-Natal,Calcutta,1.0,Low,1.0,41,2,2096966,2007,4232,0,0,0,0,Comprehensive,Daily Commute,Garage,2.5,1.0,83217.22
Toyota,Hilux,2.5,Western Cape,Cape Town CBD,2.5,Medium,1.3,61,0,2815318,2011,42816,0,1,0,1,Comprehensive,Weekend Only,Garage,2.5,2.5,64687.42
Toyota,Hilux,2.5,Western Cape,Khayelitsha,4.8,High,1.5,47,0,3081819,2026,21319,0,0,1,0,Comprehensive,Weekend Only,Street,2.5,4.8,51776.06
Toyota,Hilux,2.5,Western Cape,Rondebosch,1.2,Low,1.0,55,0,2513664,2026,16667,0,0,0,1,Comprehensive,Daily Commute,Garage,2.5,1.2,49975.62
Toyota,Hilux,2.5,Western Cape,Nyanga,4.0,High,1.5,19,0,846617,2014,15000,0,1,0,1,Comprehensive,Occasional,Garage,2.5,4.0,8102.14
Toyota,Hilux,2.5,Western Cape,Gugulethu,3.8,High,1.5,38,1,2132454,2024,8719,1,0,0,1,Comprehensive,Occasional,Garage,2.5,3.8,37605.76
Toyota,Hilux,2.5,Western Cape,Sea Point,1.5,Low,1.0,50,0,3230446,2022,6445,0,0,1,1,Third-Party,Occasional,Carport,2.5,1.5,27549.77
Toyota,Hilux,2.5,Western Cape,Philippi East,3.2,Medium,1.3,29,0,2103161,2006,49941,0,1,0,0,Comprehensive,Daily Commute,Street,2.5,3.2,72915.32
Toyota,Hilux,2.5,Western Cape,Delft,3.5,Medium,1.3,39,0,3917290,2020,37135,0,1,0,0,Third-Party,Weekend Only,Street,2.5,3.5,36913.49
Toyota,Hilux,2.5,Western Cape,Mfuleni,4.2,High,1.5,61,0,1789151,2015,12776,0,0,0,1,Third-Party,Daily Commute,Street,2.5,4.2,22318.75
Toyota,Hilux,2.5,Western Cape,Harare,4.0,High,1.5,42,0,3627269,2006,41323,0,1,0,0,Comprehensive,Weekend Only,Carport,2.5,4.0,70252.54
Toyota,Hilux,2.5,Eastern Cape,Port Elizabeth,3.0,Medium,1.3,66,0,1913466,2019,19289,0,1,0,0,Comprehensive,Business,Street,2.5,3.0,48026.34
Toyota,Hilux,2.5,Eastern Cape,Cambridge,3.5,Medium,1.3,44,1,3336021,2020,13419,0,0,0,1,Comprehensive,Business,Street,2.5,3.5,141705.62
Toyota,Hilux,2.5,Eastern Cape,Kwazakele,4.2,High,1.5,59,2,3590214,2011,9900,0,0,0,0,Comprehensive,Business,Street,2.5,4.2,214733.57
Toyota,Hilux,2.5,Eastern Cape,New Brighton,3.8,High,1.5,45,0,731366,2016,28403,1,1,0,1,Smart,Occasional,Garage,2.5,3.8,2449.37
Toyota,Hilux,2.5,Eastern Cape,Summerstrand,1.5,Low,1.0,33,1,809440,2010,30298,0,1,0,0,Third-Party,Occasional,Carport,2.5,1.5,3980.42
Toyota,Hilux,2.5,Eastern Cape,North End,2.0,Medium,1.3,32,1,486185,2003,29156,0,1,0,1,Smart,Daily Commute,Garage,2.5,2.0,2368.81
Toyota,Hilux,2.5,Eastern Cape,Walmer,1.0,Low,1.0,64,2,661108,2018,39365,0,0,0,0,Comprehensive,Occasional,Street,2.5,1.0,8878.85
Toyota,Hilux,2.5,Eastern Cape,Central,2.5,Medium,1.3,68,1,950446,2001,26037,1,0,0,1,Smart,Daily Commute,Garage,2.5,2.5,8119.13
Toyota,Hilux,2.5,Eastern Cape,Mount Road,3.5,Medium,1.3,61,0,3204349,2001,48233,0,0,0,0,Smart,Daily Commute,Street,2.5,3.5,95289.82
Toyota,Hilux,2.5,Eastern Cape,Stanford Terrace,1.2,Low,1.0,69,0,1095357,2023,7009,0,0,1,0,Smart,Occasional,Garage,2.5,1.2,9554.85
Toyota,Hilux,2.5,Mpumalanga,Witbank,3.5,Medium,1.3,20,0,2578023,2016,9235,0,0,0,0,Comprehensive,Occasional,Garage,2.5,3.5,72202.95
Toyota,Hilux,2.5,Mpumalanga,Secunda,2.8,Medium,1.3,54,1,3955767,2023,28091,1,1,0,1,Smart,Daily Commute,Carport,2.5,2.8,67930.56
Toyota,Hilux,2.5,Mpumalanga,Vosman,4.0,High,1.5,68,0,141234,2008,42726,0,0,0,0,Smart,Daily Commute,Street,2.5,4.0,379.82
Toyota,Hilux,2.5,Mpumalanga,Bethal,1.0,Low,1.0,24,0,3859298,2021,40056,0,0,1,0,Third-Party,Daily Commute,Carport,2.5,1.0,66956.76
Toyota,Hilux,2.5,Mpumalanga,Middleburg,1.5,Low,1.0,38,0,553622,2000,49082,0,1,0,1,Comprehensive,Weekend Only,Street,2.5,1.5,2034.81
Toyota,Hilux,2.5,Limpopo,Polokwane,2.5,Medium,1.3,26,0,2428398,2009,47766,0,0,0,1,Comprehensive,Occasional,Street,2.5,2.5,68886.06
Toyota,Hilux,2.5,Limpopo,Mankweng,4.2,High,1.5,56,2,913539,2022,40904,0,0,0,0,Third-Party,Daily Commute,Street,2.5,4.2,6220.71
Toyota,Hilux,2.5,North West,Mmabatho,4.0,High,1.5,35,0,294501,2014,13195,1,0,0,1,Comprehensive,Business,Garage,2.5,4.0,840.57
Toyota,Hilux,2.5,North West,Rustenburg,2.0,Medium,1.3,21,0,1759192,2020,41374,1,0,0,0,Comprehensive,Daily Commute,Carport,2.5,2.0,35597.48
Toyota,Hilux,2.5,North West,Potchefstroom,1.2,Low,1.0,42,2,2131081,2014,28248,0,1,1,1,Third-Party,Weekend Only,Street,2.5,1.2,32844.65
Toyota,Hilux,2.5,Northern Cape,Kimberley,3.5,Medium,1.3,31,0,999057,2024,28226,0,1,0,0,Comprehensive,Occasional,Street,2.5,3.5,6850.82
Toyota,Hilux,2.5,Northern Cape,Upington,1.0,Low,1.0,67,2,1192655,2022,22779,0,0,1,0,Comprehensive,Daily Commute,Garage,2.5,1.0,31133.69
Toyota,Hilux,2.5,Free State,Bloemfontein,3.0,Medium,1.3,26,2,3597041,2020,12666,1,1,0,0,Smart,Business,Street,2.5,3.0,136007.3
Toyota,Hilux,2.5,Free State,Welkom,2.0,Medium,1.3,43,0,678725,2001,22379,0,0,0,1,Smart,Occasional,Street,2.5,2.0,3772.0
Ford,Ranger,2.2,Gauteng,Sandton,1.2,Low,1.0,19,0,3809586,2013,33709,1,0,0,0,Smart,Weekend Only,Garage,2.2,1.2,71168.38
Ford,Ranger,2.2,Gauteng,Midrand,2.5,Medium,1.3,37,2,1725520,2003,44850,0,0,1,1,Comprehensive,Daily Commute,Garage,2.2,2.5,39841.82
Ford,Ranger,2.2,Gauteng,Ivory Park,4.5,High,1.5,45,2,257937,2017,43266,0,1,0,1,Smart,Daily Commute,Garage,2.2,4.5,595.89
Ford,Ranger,2.2,Gauteng,Roodepoort,3.8,High,1.5,64,0,440445,2008,32818,0,0,0,0,Smart,Occasional,Carport,2.2,3.8,1614.39
Ford,Ranger,2.2,Gauteng,Bramley,2.0,Medium,1.3,24,0,1805356,2001,42537,0,0,0,1,Comprehensive,Occasional,Carport,2.2,2.0,38110.0
Ford,Ranger,2.2,Gauteng,Honeydew,1.5,Low,1.0,61,1,216454,2001,32949,0,1,0,0,Smart,Daily Commute,Carport,2.2,1.5,629.62
Ford,Ranger,2.2,Gauteng,Soweto,4.8,High,1.5,25,1,2095315,2017,49754,1,0,1,0,Smart,Daily Commute,Street,2.2,4.8,51948.69
Ford,Ranger,2.2,Gauteng,Sandringham,3.2,Medium,1.3,64,0,98795,2016,27853,0,1,0,0,Comprehensive,Weekend Only,Carport,2.2,3.2,200.0
Ford,Ranger,2.2,Gauteng,Akasia,2.8,Medium,1.3,52,0,3257153,2008,36195,0,0,0,1,Smart,Occasional,Street,2.2,2.8,57746.54
Ford,Ranger,2.2,Gauteng,Midstream,1.0,Low,1.0,31,0,2738842,2007,23997,0,0,0,0,Comprehensive,Occasional,Carport,2.2,1.0,68698.23
Ford,Ranger,2.2,KwaZulu-Natal,Durban North,1.3,Low,1.0,34,0,515755,2001,37870,0,1,1,0,Comprehensive,Weekend Only,Street,2.2,1.3,2082.54
Ford,Ranger,2.2,KwaZulu-Natal,Umlazi,4.2,High,1.5,53,1,1840139,2001,36114,0,0,0,0,Comprehensive,Daily Commute,Street,2.2,4.2,45775.22
Ford,Ranger,2.2,KwaZulu-Natal,Inanda,3.5,Medium,1.3,67,2,2522423,2004,43588,0,1,0,0,Smart,Occasional,Garage,2.2,3.5,74141.03
Ford,Ranger,2.2,KwaZulu-Natal,Mariannhill,2.9,Medium,1.3,57,1,3968739,2011,31871,1,0,1,0,Third-Party,Occasional,Carport,2.2,2.9,42959.97
Ford,Ranger,2.2,KwaZulu-Natal,Mankweng,4.0,High,1.5,21,2,1000963,2015,3961,0,0,0,1,Comprehensive,Weekend Only,Garage,2.2,4.0,30143.93
Ford,Ranger,2.2,KwaZulu-Natal,Berea,1.5,Low,1.0,19,0,1312143,2013,39380,1,0,1,1,Comprehensive,Weekend Only,Street,2.2,1.5,22618.5
Ford,Ranger,2.2,KwaZulu-Natal,Plessislaer,2.8,Medium,1.3,23,2,2776557,2019,44507,0,1,0,1,Comprehensive,Daily Commute,Street,2.2,2.8,179487.7
Ford,Ranger,2.2,KwaZulu-Natal,Mountain Rise,3.8,High,1.5,59,0,3467440,2001,7690,0,0,0,0,Smart,Daily Commute,Carport,2.2,3.8,71383.66
Ford,Ranger,2.2,KwaZulu-Natal,Esikhaleni,4.5,High,1.5,21,2,2622114,2023,17168,0,1,0,0,Comprehensive,Occasional,Street,2.2,4.5,122589.94
Ford,Ranger,2.2,KwaZulu-Natal,Calcutta,1.0,Low,1.0,46,0,1841989,2007,47875,0,1,0,1,Smart,Weekend Only,Carport,2.2,1.0,16192.94
Ford,Ranger,2.2,Western Cape,Cape Town CBD,2.5,Medium,1.3,35,0,3393078,2003,7458,0,1,0,1,Third-Party,Business,Carport,2.2,2.5,63819.59
Ford,Ranger,2.2,Western Cape,Khayelitsha,4.8,High,1.5,43,0,2497452,2019,28942,0,1,0,0,Smart,Weekend Only,Carport,2.2,4.8,32075.86
Ford,Ranger,2.2,Western Cape,Rondebosch,1.2,Low,1.0,61,0,489960,2008,12033,0,0,0,0,Comprehensive,Occasional,Garage,2.2,1.2,2161.6
Ford,Ranger,2.2,Western Cape,Nyanga,4.0,High,1.5,51,0,1459060,2019,10047,1,1,0,1,Smart,Occasional,Carport,2.2,4.0,10460.41
Ford,Ranger,2.2,Western Cape,Gugulethu,3.8,High,1.5,27,0,90568,2025,6902,0,0,0,1,Comprehensive,Business,Carport,2.2,3.8,261.49
Ford,Ranger,2.2,Western Cape,Sea Point,1.5,Low,1.0,53,1,995495,2026,3496,1,1,0,0,Comprehensive,Weekend Only,Carport,2.2,1.5,5224.49
Ford,Ranger,2.2,Western Cape,Philippi East,3.2,Medium,1.3,31,0,3476784,2024,29664,0,0,0,1,Comprehensive,Business,Carport,2.2,3.2,110889.41
Ford,Ranger,2.2,Western Cape,Delft,3.5,Medium,1.3,48,0,747887,2018,44203,1,1,0,0,Comprehensive,Business,Carport,2.2,3.5,5577.94
Ford,Ranger,2.2,Western Cape,Mfuleni,4.2,High,1.5,65,2,3171055,2001,6582,1,1,1,1,Third-Party,Business,Garage,2.2,4.2,76097.94
Ford,Ranger,2.2,Western Cape,Harare,4.0,High,1.5,32,0,3518298,2015,31482,0,1,0,1,Comprehensive,Occasional,Carport,2.2,4.0,86327.02
Ford,Ranger,2.2,Eastern Cape,Port Elizabeth,3.0,Medium,1.3,25,0,3578235,2010,36811,0,0,0,0,Smart,Business,Street,2.2,3.0,118649.94
Ford,Ranger,2.2,Eastern Cape,Cambridge,3.5,Medium,1.3,31,0,290066,2007,38144,0,1,0,0,Smart,Daily Commute,Street,2.2,3.5,678.79
Ford,Ranger,2.2,Eastern Cape,Kwazakele,4.2,High,1.5,40,2,2046487,2011,43476,0,0,0,0,Comprehensive,Occasional,Carport,2.2,4.2,70611.04
Ford,Ranger,2.2,Eastern Cape,New Brighton,3.8,High,1.5,57,0,1361583,2002,33872,1,1,0,0,Comprehensive,Daily Commute,Carport,2.2,3.8,18862.33
Ford,Ranger,2.2,Eastern Cape,Summerstrand,1.5,Low,1.0,38,1,2038424,2012,19218,0,0,0,0,Smart,Daily Commute,Carport,2.2,1.5,53345.33
Ford,Ranger,2.2,Eastern Cape,North End,2.0,Medium,1.3,33,0,2652109,2001,19007,0,1,0,0,Comprehensive,Occasional,Carport,2.2,2.0,63822.28
Ford,Ranger,2.2,Eastern Cape,Walmer,1.0,Low,1.0,62,0,62355,2012,22366,1,0,0,0,Smart,Occasional,Carport,2.2,1.0,200.0
Ford,Ranger,2.2,Eastern Cape,Central,2.5,Medium,1.3,35,2,2253581,2026,31827,0,1,0,0,Smart,Weekend Only,Street,2.2,2.5,54901.34
Ford,Ranger,2.2,Eastern Cape,Mount Road,3.5,Medium,1.3,64,0,1818669,2007,49659,0,0,0,0,Smart,Occasional,Carport,2.2,3.5,23738.57
Ford,Ranger,2.2,Eastern Cape,Stanford Terrace,1.2,Low,1.0,41,0,1568077,2014,40208,0,1,1,0,Smart,Business,Carport,2.2,1.2,20929.65
Ford,Ranger,2.2,Mpumalanga,Witbank,3.5,Medium,1.3,43,0,2635339,2023,35264,0,0,1,0,Comprehensive,Weekend Only,Carport,2.2,3.5,39238.01
Ford,Ranger,2.2,Mpumalanga,Secunda,2.8,Medium,1.3,42,1,498949,2020,33607,0,1,0,0,Comprehensive,Business,Street,2.2,2.8,3489.44
Ford,Ranger,2.2,Mpumalanga,Vosman,4.0,High,1.5,62,0,2082995,2008,29005,1,0,0,1,Comprehensive,Daily Commute,Street,2.2,4.0,70335.18
Ford,Ranger,2.2,Mpumalanga,Bethal,1.0,Low,1.0,58,0,1030220,2010,45223,0,1,0,0,Third-Party,Occasional,Carport,2.2,1.0,6392.94
Ford,Ranger,2.2,Mpumalanga,Middleburg,1.5,Low,1.0,46,0,2268303,2021,33475,0,0,0,1,Smart,Daily Commute,Street,2.2,1.5,44647.77
Ford,Ranger,2.2,Limpopo,Polokwane,2.5,Medium,1.3,32,0,1409246,2020,18926,0,0,0,0,Comprehensive,Weekend Only,Carport,2.2,2.5,18634.04
Ford,Ranger,2.2,Limpopo,Mankweng,4.2,High,1.5,62,0,2484673,2002,35683,0,1,0,0,Third-Party,Daily Commute,Street,2.2,4.2,46974.55
Ford,Ranger,2.2,North West,Mmabatho,4.0,High,1.5,18,1,235477,2006,20185,0,1,0,1,Third-Party,Weekend Only,Carport,2.2,4.0,425.63
Ford,Ranger,2.2,North West,Rustenburg,2.0,Medium,1.3,42,2,1540634,2013,13274,0,1,0,1,Smart,Business,Garage,2.2,2.0,33375.07
Ford,Ranger,2.2,North West,Potchefstroom,1.2,Low,1.0,24,0,3791804,2014,48049,1,0,1,1,Comprehensive,Occasional,Street,2.2,1.2,110404.44
Ford,Ranger,2.2,Northern Cape,Kimberley,3.5,Medium,1.3,26,0,564898,2008,35947,0,1,1,1,Comprehensive,Business,Garage,2.2,3.5,3198.74
Ford,Ranger,2.2,Northern Cape,Upington,1.0,Low,1.0,41,0,2732969,2019,45215,0,1,0,1,Smart,Weekend Only,Street,2.2,1.0,37586.64
Ford,Ranger,2.2,Free State,Bloemfontein,3.0,Medium,1.3,18,1,2116019,2010,36839,0,0,0,1,Comprehensive,Weekend Only,Garage,2.2,3.0,82044.36
Ford,Ranger,2.2,Free State,Welkom,2.0,Medium,1.3,61,2,2269985,2006,43766,0,0,0,1,Third-Party,Business,Street,2.2,2.0,86134.16
Volkswagen,Polo Vivo,1.8,Gauteng,Sandton,1.2,Low,1.0,25,0,1212154,2011,29314,1,0,0,0,Smart,Business,Street,1.8,1.2,20897.56
Volkswagen,Polo Vivo,1.8,Gauteng,Midrand,2.5,Medium,1.3,41,0,3389183,2018,48641,0,0,1,0,Comprehensive,Business,Carport,1.8,2.5,90187.78
Volkswagen,Polo Vivo,1.8,Gauteng,Ivory Park,4.5,High,1.5,28,2,2662679,2026,41913,1,0,1,1,Comprehensive,Occasional,Street,1.8,4.5,76553.2
Volkswagen,Polo Vivo,1.8,Gauteng,Roodepoort,3.8,High,1.5,68,0,2720617,2017,44494,0,1,0,0,Smart,Business,Street,1.8,3.8,82014.66
Volkswagen,Polo Vivo,1.8,Gauteng,Bramley,2.0,Medium,1.3,34,1,2798343,2012,32288,0,0,0,0,Comprehensive,Daily Commute,Garage,1.8,2.0,108600.07
Volkswagen,Polo Vivo,1.8,Gauteng,Honeydew,1.5,Low,1.0,25,1,1671920,2010,49344,0,1,1,0,Comprehensive,Business,Garage,1.8,1.5,42937.05
Volkswagen,Polo Vivo,1.8,Gauteng,Soweto,4.8,High,1.5,52,2,2638617,2000,27892,0,0,1,1,Third-Party,Weekend Only,Garage,1.8,4.8,36689.43
Volkswagen,Polo Vivo,1.8,Gauteng,Sandringham,3.2,Medium,1.3,52,0,3796437,2005,27682,0,0,0,0,Smart,Weekend Only,Garage,1.8,3.2,52971.54
Volkswagen,Polo Vivo,1.8,Gauteng,Akasia,2.8,Medium,1.3,50,1,1797568,2020,3589,0,0,0,0,Comprehensive,Weekend Only,Carport,1.8,2.8,25723.72
Volkswagen,Polo Vivo,1.8,Gauteng,Midstream,1.0,Low,1.0,22,2,3507557,2001,32809,1,1,0,0,Comprehensive,Business,Garage,1.8,1.0,217441.87
Volkswagen,Polo Vivo,1.8,KwaZulu-Natal,Durban North,1.3,Low,1.0,59,1,3414022,2012,20870,1,0,0,0,Comprehensive,Business,Carport,1.8,1.3,122545.22
Volkswagen,Polo Vivo,1.8,KwaZulu-Natal,Umlazi,4.2,High,1.5,56,1,2225742,2012,10679,1,0,1,0,Smart,Occasional,Carport,1.8,4.2,36452.45
Volkswagen,Polo Vivo,1.8,KwaZulu-Natal,Inanda,3.5,Medium,1.3,58,1,3476849,2018,10803,0,0,0,1,Third-Party,Business,Garage,1.8,3.5,61116.26
Volkswagen,Polo Vivo,1.8,KwaZulu-Natal,Mariannhill,2.9,Medium,1.3,45,0,937000,2008,44357,0,0,0,0,Comprehensive,Weekend Only,Garage,1.8,2.9,5475.09
Volkswagen,Polo Vivo,1.8,KwaZulu-Natal,Mankweng,4.0,High,1.5,24,0,895399,2018,41982,0,1,0,0,Comprehensive,Business,Garage,1.8,4.0,11649.88
Volkswagen,Polo Vivo,1.8,KwaZulu-Natal,Berea,1.5,Low,1.0,26,2,1444792,2022,45153,0,1,1,0,Comprehensive,Daily Commute,Street,1.8,1.5,39612.51
Volkswagen,Polo Vivo,1.8,KwaZulu-Natal,Plessislaer,2.8,Medium,1.3,25,2,2565438,2000,29650,0,0,0,0,Comprehensive,Business,Garage,1.8,2.8,150345.5
Volkswagen,Polo Vivo,1.8,KwaZulu-Natal,Mountain Rise,3.8,High,1.5,29,0,3681417,2022,11529,0,0,1,1,Smart,Business,Garage,1.8,3.8,82672.29
Volkswagen,Polo Vivo,1.8,KwaZulu-Natal,Esikhaleni,4.5,High,1.5,51,0,2965084,2024,30998,1,1,0,0,Comprehensive,Weekend Only,Carport,1.8,4.5,38970.42
Volkswagen,Polo Vivo,1.8,KwaZulu-Natal,Calcutta,1.0,Low,1.0,50,0,559203,2026,12392,1,0,0,0,Smart,Occasional,Garage,1.8,1.0,962.16
Volkswagen,Polo Vivo,1.8,Western Cape,Cape Town CBD,2.5,Medium,1.3,65,0,3059059,2007,39265,1,1,0,0,Smart,Weekend Only,Street,1.8,2.5,53402.99
Volkswagen,Polo Vivo,1.8,Western Cape,Khayelitsha,4.8,High,1.5,40,0,2691451,2022,6583,1,0,1,0,Comprehensive,Weekend Only,Garage,1.8,4.8,34991.51
Volkswagen,Polo Vivo,1.8,Western Cape,Rondebosch,1.2,Low,1.0,41,2,239111,2025,28690,0,0,0,1,Smart,Business,Garage,1.8,1.2,620.77
Volkswagen,Polo Vivo,1.8,Western Cape,Nyanga,4.0,High,1.5,54,0,462112,2013,12328,0,0,0,0,Smart,Weekend Only,Carport,1.8,4.0,1228.09
Volkswagen,Polo Vivo,1.8,Western Cape,Gugulethu,3.8,High,1.5,52,1,417479,2023,23638,1,1,0,0,Smart,Business,Street,1.8,3.8,1701.86
Volkswagen,Polo Vivo,1.8,Western Cape,Sea Point,1.5,Low,1.0,61,1,3154774,2015,18238,0,0,1,0,Comprehensive,Business,Street,1.8,1.5,177388.17
Volkswagen,Polo Vivo,1.8,Western Cape,Philippi East,3.2,Medium,1.3,57,2,3638902,2003,41113,0,0,0,1,Smart,Daily Commute,Garage,1.8,3.2,109909.61
Volkswagen,Polo Vivo,1.8,Western Cape,Delft,3.5,Medium,1.3,39,1,1543704,2017,24955,0,0,0,0,Smart,Weekend Only,Street,1.8,3.5,18534.39
Volkswagen,Polo Vivo,1.8,Western Cape,Mfuleni,4.2,High,1.5,44,0,60814,2013,23682,0,0,0,1,Smart,Business,Garage,1.8,4.2,200.0
Volkswagen,Polo Vivo,1.8,Western Cape,Harare,4.0,High,1.5,52,0,2625644,2026,49442,1,0,0,1,Comprehensive,Occasional,Carport,1.8,4.0,38278.15
Volkswagen,Polo Vivo,1.8,Eastern Cape,Port Elizabeth,3.0,Medium,1.3,18,0,3623663,2008,18462,1,0,0,1,Comprehensive,Occasional,Street,1.8,3.0,116266.4
Volkswagen,Polo Vivo,1.8,Eastern Cape,Cambridge,3.5,Medium,1.3,52,1,1078585,2014,7652,0,1,1,0,Comprehensive,Daily Commute,Garage,1.8,3.5,19334.54
Volkswagen,Polo Vivo,1.8,Eastern Cape,Kwazakele,4.2,High,1.5,54,0,3488022,2002,18761,0,0,0,0,Comprehensive,Business,Carport,1.8,4.2,116548.12
Volkswagen,Polo Vivo,1.8,Eastern Cape,New Brighton,3.8,High,1.5,64,0,63825,2026,32235,0,0,1,0,Comprehensive,Weekend Only,Carport,1.8,3.8,200.0
Volkswagen,Polo Vivo,1.8,Eastern Cape,Summerstrand,1.5,Low,1.0,31,2,2731808,2003,26351,0,1,0,1,Comprehensive,Weekend Only,Garage,1.8,1.5,91173.06
Volkswagen,Polo Vivo,1.8,Eastern Cape,North End,2.0,Medium,1.3,20,0,2565168,2022,13176,0,1,0,1,Smart,Weekend Only,Carport,1.8,2.0,51103.75
Volkswagen,Polo Vivo,1.8,Eastern Cape,Walmer,1.0,Low,1.0,18,1,3281263,2017,40709,1,1,0,1,Comprehensive,Daily Commute,Carport,1.8,1.0,129026.55
Volkswagen,Polo Vivo,1.8,Eastern Cape,Central,2.5,Medium,1.3,22,0,2243542,2013,35914,0,1,1,0,Comprehensive,Business,Garage,1.8,2.5,95482.56
Volkswagen,Polo Vivo,1.8,Eastern Cape,Mount Road,3.5,Medium,1.3,43,2,3710212,2014,27639,1,1,0,0,Smart,Occasional,Street,1.8,3.5,85230.13
Volkswagen,Polo Vivo,1.8,Eastern Cape,Stanford Terrace,1.2,Low,1.0,31,0,283923,2007,4216,0,0,0,1,Comprehensive,Business,Street,1.8,1.2,1105.66
Volkswagen,Polo Vivo,1.8,Mpumalanga,Witbank,3.5,Medium,1.3,56,2,3835092,2009,29415,0,1,0,1,Comprehensive,Daily Commute,Carport,1.8,3.5,158923.4
Volkswagen,Polo Vivo,1.8,Mpumalanga,Secunda,2.8,Medium,1.3,44,0,2887529,2023,34657,0,0,1,1,Smart,Weekend Only,Garage,1.8,2.8,29538.2
Volkswagen,Polo Vivo,1.8,Mpumalanga,Vosman,4.0,High,1.5,26,1,239577,2011,40217,0,0,1,0,Smart,Daily Commute,Street,1.8,4.0,706.45
Volkswagen,Polo Vivo,1.8,Mpumalanga,Bethal,1.0,Low,1.0,32,2,1886341,2020,19847,0,0,0,0,Comprehensive,Occasional,Street,1.8,1.0,46082.47
Volkswagen,Polo Vivo,1.8,Mpumalanga,Middleburg,1.5,Low,1.0,32,0,1690763,2008,19900,1,1,0,0,Comprehensive,Daily Commute,Carport,1.8,1.5,27376.68
